Sale_ID,Date,Country,City,Store_ID,Sales_Channel,Brand,Model,Supplier,Storage_GB,Color,Price_USD,COGS_USD,Units_Sold,Discount_pct,Revenue_USD,Cost_Total_USD,Profit_USD,Profit_Margin,Inventory_Level,Promotion,Payment_Method,Warranty_Type,Customer_Rating,Returned,Salesperson_ID
200000,03-05-25,Poland,Warsaw,STORE_2,Online,Xiaomi,Redmi Note 12,Xiaomi Global Supply,64,Red,384.72,256.44,2,0,769.44,512.88,256.56,0.333,16,None,Google Pay,Standard 12M,4.2,0,EMP_128
200001,13-10-25,Ukraine,Lviv,STORE_3,Store,OnePlus,OnePlus 10,OnePlus Distribution,64,Silver,341.92,246.76,3,0.1,923.18,740.28,182.9,0.198,23,Holiday Sale,PayPal,Standard 12M,4.4,0,EMP_170
200002,02-04-25,Ukraine,Kyiv,STORE_4,Store,Apple,iPhone 13,Apple Distribution Ltd,512,White,778.55,549.22,4,0.15,2647.07,2196.88,450.19,0.17,63,Black Friday,Google Pay,Extended 24M,4.1,0,EMP_143
200003,12-10-25,Ukraine,Kyiv,STORE_10,Online,Google,Pixel 8,Google Devices Supply,64,Red,676.31,474.38,2,0.1,1217.36,948.76,268.6,0.221,58,Black Friday,PayPal,Extended 24M,3.7,0,EMP_158
200004,12-01-25,Germany,Munich,STORE_8,Online,Apple,iPhone 13,Apple Distribution Ltd,64,Black,958.04,586.25,4,0.05,3640.55,2345,1295.55,0.356,54,Holiday Sale,Google Pay,Standard 12M,4.8,0,EMP_163
200005,11-03-25,Germany,Berlin,STORE_7,Online,Apple,iPhone 14,Apple Distribution Ltd,128,Green,651.85,472.12,1,0,651.85,472.12,179.73,0.276,62,Back to School,PayPal,Extended 24M,4.2,0,EMP_129
200006,30-09-25,UK,London,STORE_6,Online,Samsung,Galaxy S21,Samsung Electronics Distribution,128,White,510,329.97,2,0.05,969,659.94,309.06,0.319,41,Holiday Sale,Google Pay,Standard 12M,3.6,1,EMP_158
200007,23-06-25,Poland,Krakow,STORE_10,Store,OnePlus,OnePlus 11,OnePlus Distribution,512,Black,733.37,462.09,2,0,1466.74,924.18,542.56,0.37,31,None,Credit Card,Standard 12M,4.2,0,EMP_168
200008,06-09-25,Ukraine,Kyiv,STORE_8,Online,Apple,iPhone 15,Apple Distribution Ltd,64,Silver,852.66,494.3,3,0.05,2430.08,1482.9,947.18,0.39,51,Back to School,PayPal,Standard 12M,4.3,0,EMP_118
200009,25-11-25,Germany,Munich,STORE_2,Online,Apple,iPhone 15,Apple Distribution Ltd,128,Red,320.79,237.45,3,0,962.37,712.35,250.02,0.26,74,Black Friday,Cash,Extended 24M,4.9,0,EMP_128
200010,29-08-25,UK,London,STORE_5,Store,OnePlus,OnePlus 11,OnePlus Distribution,128,Green,965.89,575.04,4,0.05,3670.38,2300.16,1370.22,0.373,8,Black Friday,Apple Pay,Extended 24M,5,0,EMP_146
200011,04-12-25,USA,New York,STORE_2,Online,Apple,iPhone 14,Apple Distribution Ltd,512,Silver,603.96,390.48,1,0.1,543.56,390.48,153.08,0.282,49,Holiday Sale,Apple Pay,Standard 12M,4.7,0,EMP_155
200012,01-12-25,Poland,Krakow,STORE_3,Online,Xiaomi,Redmi Note 12,Xiaomi Global Supply,512,White,1152.12,800.68,2,0,2304.24,1601.36,702.88,0.305,8,Black Friday,Cash,Standard 12M,3.8,1,EMP_102
200013,12-05-25,Ukraine,Kyiv,STORE_9,Online,Apple,iPhone 13,Apple Distribution Ltd,512,Silver,1043.54,617.99,3,0,3130.62,1853.97,1276.65,0.408,42,Holiday Sale,Credit Card,Extended 24M,4.3,0,EMP_158
200014,29-03-25,Ukraine,Kyiv,STORE_3,Online,OnePlus,OnePlus 11,OnePlus Distribution,128,Red,759.49,550.3,2,0.15,1291.13,1100.6,190.53,0.148,5,None,Google Pay,Standard 12M,4.7,0,EMP_141
200015,14-08-25,USA,Los Angeles,STORE_6,Store,OnePlus,OnePlus 11,OnePlus Distribution,64,Silver,472.18,263.68,1,0.15,401.35,263.68,137.67,0.343,62,Black Friday,Apple Pay,Extended 24M,4.4,0,EMP_164
200016,08-12-25,Ukraine,Kyiv,STORE_5,Store,Samsung,Galaxy S23,Samsung Electronics Distribution,512,Silver,674.97,424.2,3,0,2024.91,1272.6,752.31,0.372,35,Holiday Sale,PayPal,Standard 12M,4.2,0,EMP_132
200017,22-06-25,UK,London,STORE_7,Store,Samsung,Galaxy A54,Samsung Electronics Distribution,512,Green,446.52,305.23,2,0,893.04,610.46,282.58,0.316,60,Black Friday,PayPal,Standard 12M,5,1,EMP_146
200018,23-02-25,Ukraine,Lviv,STORE_2,Online,Apple,iPhone 15,Apple Distribution Ltd,512,White,316.27,194.92,3,0.15,806.49,584.76,221.73,0.275,13,Black Friday,Credit Card,Standard 12M,3.8,0,EMP_134
200019,05-08-25,Germany,Munich,STORE_2,Online,Samsung,Galaxy A54,Samsung Electronics Distribution,128,Red,1127.25,748.63,3,0,3381.75,2245.89,1135.86,0.336,40,None,Credit Card,Extended 24M,3.7,0,EMP_110
200020,26-02-25,USA,Chicago,STORE_3,Online,OnePlus,OnePlus 10,OnePlus Distribution,64,Green,310.39,232.44,4,0.05,1179.48,929.76,249.72,0.212,21,None,Cash,Standard 12M,3.7,0,EMP_139
200021,20-09-25,UK,Manchester,STORE_8,Store,Xiaomi,Xiaomi 13,Xiaomi Global Supply,512,Red,904.94,546.68,1,0.05,859.69,546.68,313.01,0.364,9,Back to School,Credit Card,Extended 24M,3.6,0,EMP_163
200022,08-01-25,Ukraine,Lviv,STORE_2,Online,OnePlus,OnePlus 11,OnePlus Distribution,128,Silver,608.43,435.91,2,0.1,1095.17,871.82,223.35,0.204,49,Back to School,Cash,Standard 12M,5,0,EMP_110
200023,07-10-25,Ukraine,Kyiv,STORE_6,Store,Google,Pixel 8,Google Devices Supply,256,Black,713.51,414.91,4,0,2854.04,1659.64,1194.4,0.418,38,None,PayPal,Standard 12M,4.1,0,EMP_145
200024,14-03-25,Germany,Munich,STORE_7,Store,Samsung,Galaxy S21,Samsung Electronics Distribution,64,Green,551.04,375.37,2,0.15,936.77,750.74,186.03,0.199,5,Back to School,Credit Card,Extended 24M,3.7,0,EMP_138
200025,25-12-25,Ukraine,Kyiv,STORE_9,Store,Samsung,Galaxy S21,Samsung Electronics Distribution,512,Blue,948.61,615.49,3,0.15,2418.96,1846.47,572.49,0.237,23,None,Google Pay,Standard 12M,3.7,1,EMP_110
200026,21-08-25,UK,Manchester,STORE_2,Store,Apple,iPhone 13,Apple Distribution Ltd,64,Green,1052.24,696.27,1,0.15,894.4,696.27,198.13,0.222,36,None,Apple Pay,Extended 24M,4.3,0,EMP_109
200027,18-06-25,UK,London,STORE_5,Online,Xiaomi,Redmi Note 12,Xiaomi Global Supply,512,Green,1060.98,599.82,3,0,3182.94,1799.46,1383.48,0.435,30,Holiday Sale,Credit Card,Extended 24M,3.7,0,EMP_107
200028,08-10-25,USA,Los Angeles,STORE_4,Online,Google,Pixel 8,Google Devices Supply,128,White,740.65,512.36,3,0.1,1999.75,1537.08,462.67,0.231,64,None,Apple Pay,Standard 12M,4.3,0,EMP_137
200029,03-07-25,Ukraine,Lviv,STORE_3,Online,Google,Pixel 7,Google Devices Supply,256,Green,488.85,361.32,2,0,977.7,722.64,255.06,0.261,79,None,PayPal,Standard 12M,3.7,0,EMP_163
200030,18-06-25,USA,New York,STORE_1,Online,Google,Pixel 8,Google Devices Supply,64,Green,913.43,576.45,2,0.1,1644.17,1152.9,491.27,0.299,49,Black Friday,Apple Pay,Standard 12M,4.1,0,EMP_125
200031,23-05-25,Germany,Munich,STORE_2,Store,Apple,iPhone 15,Apple Distribution Ltd,64,Green,651.14,471.42,1,0.05,618.58,471.42,147.16,0.238,59,Black Friday,Cash,Standard 12M,4.7,0,EMP_134
200032,18-08-25,UK,Manchester,STORE_10,Store,Google,Pixel 8,Google Devices Supply,512,Black,1030.77,696.99,2,0,2061.54,1393.98,667.56,0.324,11,Black Friday,Apple Pay,Standard 12M,4.9,1,EMP_170
200033,02-03-25,Poland,Krakow,STORE_3,Store,Samsung,Galaxy S22,Samsung Electronics Distribution,256,Blue,567.99,396.35,3,0.1,1533.57,1189.05,344.52,0.225,35,None,Cash,Extended 24M,4,1,EMP_170
200034,07-07-25,Germany,Munich,STORE_5,Store,Samsung,Galaxy A54,Samsung Electronics Distribution,512,Silver,793.01,474.87,2,0.05,1506.72,949.74,556.98,0.37,76,None,Apple Pay,Extended 24M,3.7,0,EMP_152
200035,17-02-25,Poland,Krakow,STORE_5,Store,OnePlus,OnePlus 10,OnePlus Distribution,256,Black,748.33,497.53,3,0,2244.99,1492.59,752.4,0.335,69,Back to School,Apple Pay,Extended 24M,4.3,0,EMP_155
200036,17-08-25,UK,London,STORE_4,Store,Xiaomi,Redmi Note 12,Xiaomi Global Supply,512,White,987.32,701.84,4,0,3949.28,2807.36,1141.92,0.289,14,Holiday Sale,Cash,Standard 12M,4.1,1,EMP_166
200037,23-12-25,USA,Los Angeles,STORE_2,Store,Apple,iPhone 15 Pro,Apple Distribution Ltd,64,Black,1004.07,598.94,1,0.05,953.87,598.94,354.93,0.372,21,None,PayPal,Standard 12M,4.5,1,EMP_149
200038,15-01-25,Ukraine,Kyiv,STORE_7,Online,Xiaomi,Redmi Note 12,Xiaomi Global Supply,64,Red,571.37,366.9,3,0,1714.11,1100.7,613.41,0.358,65,None,Credit Card,Standard 12M,4.3,0,EMP_163
200039,04-01-25,Germany,Berlin,STORE_5,Store,Google,Pixel 7,Google Devices Supply,512,Blue,504.11,280.7,3,0.1,1361.1,842.1,519,0.381,51,Holiday Sale,Apple Pay,Standard 12M,4.6,0,EMP_139
200040,31-10-25,Poland,Warsaw,STORE_3,Online,Samsung,Galaxy S22,Samsung Electronics Distribution,256,Blue,398.11,268.61,2,0,796.22,537.22,259,0.325,67,None,Cash,Standard 12M,4.2,0,EMP_118
200041,30-11-25,USA,New York,STORE_9,Online,Google,Pixel 7,Google Devices Supply,512,Green,1108.35,805.46,1,0,1108.35,805.46,302.89,0.273,26,None,PayPal,Extended 24M,4.1,0,EMP_147
200042,09-08-25,UK,London,STORE_2,Store,Xiaomi,Mi 11,Xiaomi Global Supply,64,Black,551.83,342.3,1,0.15,469.06,342.3,126.76,0.27,31,Back to School,Cash,Extended 24M,4.1,0,EMP_169
200043,01-02-25,Germany,Munich,STORE_5,Store,Google,Pixel 7,Google Devices Supply,512,Black,868.5,520.75,4,0,3474,2083,1391,0.4,53,None,Google Pay,Extended 24M,3.6,0,EMP_146
200044,13-01-25,Ukraine,Kyiv,STORE_4,Store,Xiaomi,Mi 11,Xiaomi Global Supply,256,White,944.97,579.55,3,0.05,2693.16,1738.65,954.51,0.354,5,Back to School,Apple Pay,Extended 24M,4.6,0,EMP_132
200045,23-08-25,UK,Manchester,STORE_6,Store,Google,Pixel 8,Google Devices Supply,128,Black,1022.31,713.26,2,0.15,1737.93,1426.52,311.41,0.179,35,Holiday Sale,Apple Pay,Standard 12M,4.1,0,EMP_131
200046,12-09-25,USA,Chicago,STORE_8,Store,Google,Pixel 7,Google Devices Supply,256,Silver,1182.23,859.12,1,0.05,1123.12,859.12,264,0.235,15,Holiday Sale,Cash,Extended 24M,3.9,1,EMP_158
200047,05-05-25,Ukraine,Kyiv,STORE_4,Store,OnePlus,OnePlus 10,OnePlus Distribution,256,Blue,551.46,332.82,3,0.05,1571.66,998.46,573.2,0.365,30,Black Friday,Google Pay,Standard 12M,4.2,0,EMP_141
200048,17-08-25,Germany,Berlin,STORE_6,Store,Apple,iPhone 15 Pro,Apple Distribution Ltd,128,White,1027.6,699.45,1,0,1027.6,699.45,328.15,0.319,5,Black Friday,Cash,Standard 12M,4.3,0,EMP_106
200049,23-06-25,USA,Chicago,STORE_3,Store,Samsung,Galaxy S22,Samsung Electronics Distribution,128,Green,842.74,594.13,1,0,842.74,594.13,248.61,0.295,49,Holiday Sale,PayPal,Standard 12M,3.9,0,EMP_126
200050,21-07-25,Poland,Krakow,STORE_9,Store,Apple,iPhone 15,Apple Distribution Ltd,128,Red,580.98,343.17,4,0.15,1975.33,1372.68,602.65,0.305,66,None,Cash,Extended 24M,3.7,0,EMP_134
200051,25-11-25,Germany,Munich,STORE_4,Online,Google,Pixel 8,Google Devices Supply,64,Blue,970.8,705.52,4,0.1,3494.88,2822.08,672.8,0.193,7,Back to School,Cash,Standard 12M,4.8,0,EMP_155
200052,25-11-25,USA,New York,STORE_7,Store,Samsung,Galaxy A54,Samsung Electronics Distribution,512,Red,1094.55,702.9,2,0,2189.1,1405.8,783.3,0.358,6,Black Friday,Google Pay,Standard 12M,3.7,0,EMP_118
200053,04-09-25,UK,London,STORE_6,Store,Xiaomi,Mi 11,Xiaomi Global Supply,64,Black,645.36,452.21,2,0.05,1226.18,904.42,321.76,0.262,21,Back to School,Credit Card,Standard 12M,4.8,0,EMP_128
200054,08-04-25,Ukraine,Kyiv,STORE_1,Store,OnePlus,OnePlus 11,OnePlus Distribution,512,Silver,808.88,451.63,2,0.1,1455.98,903.26,552.72,0.38,50,Black Friday,Credit Card,Extended 24M,3.8,0,EMP_158
200055,26-08-25,Poland,Krakow,STORE_4,Online,OnePlus,OnePlus 11,OnePlus Distribution,128,Green,650.29,405.45,4,0,2601.16,1621.8,979.36,0.377,7,Back to School,Cash,Extended 24M,3.6,1,EMP_151
200056,18-09-25,UK,Manchester,STORE_2,Store,Apple,iPhone 13,Apple Distribution Ltd,512,Blue,382.54,244.21,1,0,382.54,244.21,138.33,0.362,21,Back to School,Cash,Standard 12M,3.7,0,EMP_108
200057,22-03-25,UK,London,STORE_6,Online,OnePlus,OnePlus 10,OnePlus Distribution,512,Blue,1160.98,851.24,2,0,2321.96,1702.48,619.48,0.267,13,Back to School,Cash,Extended 24M,4.8,0,EMP_164
200058,27-03-25,Ukraine,Lviv,STORE_5,Store,Google,Pixel 7,Google Devices Supply,128,Blue,635.04,374.54,4,0,2540.16,1498.16,1042,0.41,40,None,PayPal,Extended 24M,4.6,1,EMP_166
200059,27-04-25,Germany,Munich,STORE_3,Store,OnePlus,OnePlus 10,OnePlus Distribution,256,Blue,638.17,398.08,2,0.05,1212.52,796.16,416.36,0.343,47,Black Friday,Google Pay,Extended 24M,4.7,1,EMP_139
200060,08-03-25,USA,Los Angeles,STORE_8,Store,OnePlus,OnePlus 11,OnePlus Distribution,64,Silver,434.43,292.46,4,0.1,1563.95,1169.84,394.11,0.252,70,None,Credit Card,Standard 12M,4.1,0,EMP_100
200061,22-03-25,Germany,Berlin,STORE_3,Store,OnePlus,OnePlus 11,OnePlus Distribution,256,Red,501.83,334.58,2,0,1003.66,669.16,334.5,0.333,51,Holiday Sale,Cash,Extended 24M,4.5,1,EMP_112
200062,07-05-25,Germany,Munich,STORE_3,Store,Apple,iPhone 14,Apple Distribution Ltd,256,Black,350.52,250.33,3,0.15,893.83,750.99,142.84,0.16,79,None,Credit Card,Standard 12M,4.2,1,EMP_151
200063,09-11-25,UK,London,STORE_3,Online,Samsung,Galaxy S22,Samsung Electronics Distribution,64,Black,851.38,580.1,2,0,1702.76,1160.2,542.56,0.319,57,None,PayPal,Standard 12M,3.9,1,EMP_161
200064,04-03-25,Poland,Krakow,STORE_6,Online,OnePlus,OnePlus 10,OnePlus Distribution,512,Black,967.58,619.73,2,0,1935.16,1239.46,695.7,0.36,38,None,PayPal,Extended 24M,3.9,0,EMP_166
200065,17-06-25,UK,London,STORE_10,Store,Xiaomi,Mi 11,Xiaomi Global Supply,64,Silver,534.33,319.11,2,0,1068.66,638.22,430.44,0.403,46,Back to School,Google Pay,Extended 24M,3.9,1,EMP_160
200066,15-03-25,USA,Chicago,STORE_1,Store,OnePlus,OnePlus 10,OnePlus Distribution,128,Red,1096.28,775.99,4,0.15,3727.35,3103.96,623.39,0.167,79,None,Credit Card,Standard 12M,3.7,0,EMP_144
200067,12-04-25,USA,New York,STORE_9,Store,Samsung,Galaxy S21,Samsung Electronics Distribution,128,White,879.19,491.05,1,0,879.19,491.05,388.14,0.441,13,Back to School,Credit Card,Standard 12M,4.8,0,EMP_126
200068,04-08-25,USA,New York,STORE_5,Store,Samsung,Galaxy S21,Samsung Electronics Distribution,64,White,869.03,560.89,2,0,1738.06,1121.78,616.28,0.355,31,Black Friday,PayPal,Extended 24M,4,0,EMP_106
200069,28-08-25,Ukraine,Lviv,STORE_1,Store,Xiaomi,Mi 11,Xiaomi Global Supply,256,Red,971.09,687.35,1,0.1,873.98,687.35,186.63,0.214,71,None,Google Pay,Extended 24M,4.7,0,EMP_121
200070,22-10-25,Ukraine,Kyiv,STORE_3,Online,Google,Pixel 7,Google Devices Supply,256,Black,303.93,197,4,0,1215.72,788,427.72,0.352,68,Holiday Sale,Cash,Extended 24M,4.4,0,EMP_121
200071,14-05-25,Poland,Warsaw,STORE_7,Store,Apple,iPhone 13,Apple Distribution Ltd,256,Blue,385.63,283.71,1,0.1,347.07,283.71,63.36,0.183,8,Back to School,Cash,Extended 24M,4.1,0,EMP_116
200072,23-10-25,Germany,Munich,STORE_4,Store,OnePlus,OnePlus 10,OnePlus Distribution,128,Green,895.89,625.69,2,0.1,1612.6,1251.38,361.22,0.224,61,Black Friday,Apple Pay,Standard 12M,4.6,0,EMP_164
200073,12-05-25,Germany,Berlin,STORE_2,Store,Samsung,Galaxy S23,Samsung Electronics Distribution,128,Silver,950.84,637.61,3,0,2852.52,1912.83,939.69,0.329,35,None,Cash,Extended 24M,4.1,0,EMP_119
200074,23-07-25,Germany,Munich,STORE_7,Store,Samsung,Galaxy S23,Samsung Electronics Distribution,256,Silver,398.35,291.7,3,0,1195.05,875.1,319.95,0.268,54,Black Friday,Apple Pay,Standard 12M,4.2,0,EMP_118
200075,25-11-25,Poland,Warsaw,STORE_2,Online,Xiaomi,Xiaomi 13,Xiaomi Global Supply,128,Green,931.05,621.46,4,0,3724.2,2485.84,1238.36,0.333,79,Back to School,PayPal,Extended 24M,4.8,0,EMP_112
200076,06-01-25,Poland,Warsaw,STORE_7,Online,Google,Pixel 7,Google Devices Supply,256,Green,734.47,406.85,4,0.15,2497.2,1627.4,869.8,0.348,28,None,Credit Card,Extended 24M,4.9,0,EMP_169
200077,25-09-25,UK,Manchester,STORE_6,Online,Samsung,Galaxy S22,Samsung Electronics Distribution,64,Red,711.11,420.26,4,0.15,2417.77,1681.04,736.73,0.305,7,Back to School,Cash,Standard 12M,4.5,0,EMP_150
200078,25-10-25,Ukraine,Lviv,STORE_5,Store,OnePlus,OnePlus 10,OnePlus Distribution,64,Blue,546.92,344.53,1,0,546.92,344.53,202.39,0.37,58,Holiday Sale,PayPal,Extended 24M,4.9,0,EMP_167
200079,29-06-25,Poland,Warsaw,STORE_7,Online,Samsung,Galaxy A54,Samsung Electronics Distribution,128,Silver,1136.48,640.72,2,0.1,2045.66,1281.44,764.22,0.374,76,Black Friday,Google Pay,Standard 12M,4.6,0,EMP_160
200080,02-09-25,Germany,Munich,STORE_8,Online,Xiaomi,Redmi Note 12,Xiaomi Global Supply,256,Green,910.94,588.75,3,0.05,2596.18,1766.25,829.93,0.32,36,None,PayPal,Standard 12M,4.5,0,EMP_138
200081,08-05-25,USA,Los Angeles,STORE_10,Store,Google,Pixel 7,Google Devices Supply,256,Silver,777.58,481.35,1,0,777.58,481.35,296.23,0.381,31,Holiday Sale,Cash,Standard 12M,4.9,0,EMP_157
200082,28-09-25,UK,Manchester,STORE_2,Online,Xiaomi,Redmi Note 12,Xiaomi Global Supply,128,Red,1102.02,740.2,1,0.15,936.72,740.2,196.52,0.21,43,None,Google Pay,Standard 12M,3.9,0,EMP_133
200083,23-03-25,UK,Manchester,STORE_6,Online,Google,Pixel 7,Google Devices Supply,512,Red,352.61,226.88,2,0.1,634.7,453.76,180.94,0.285,36,Back to School,PayPal,Extended 24M,4.3,0,EMP_147
200084,14-03-25,USA,New York,STORE_1,Store,Google,Pixel 8,Google Devices Supply,256,White,881.87,488.65,1,0.05,837.78,488.65,349.13,0.417,17,Back to School,Cash,Extended 24M,4.3,1,EMP_112
200085,25-07-25,Poland,Warsaw,STORE_6,Online,Xiaomi,Mi 11,Xiaomi Global Supply,256,Green,607.76,364.85,1,0.05,577.37,364.85,212.52,0.368,42,Black Friday,Cash,Extended 24M,4.1,1,EMP_115
200086,23-07-25,Germany,Munich,STORE_5,Store,Xiaomi,Redmi Note 12,Xiaomi Global Supply,128,Red,1175.47,667.1,1,0.1,1057.92,667.1,390.82,0.369,75,None,Credit Card,Standard 12M,4.8,0,EMP_160
200087,16-11-25,Ukraine,Lviv,STORE_3,Store,OnePlus,OnePlus 10,OnePlus Distribution,128,White,906.33,623.4,1,0,906.33,623.4,282.93,0.312,10,Holiday Sale,Credit Card,Extended 24M,4.5,1,EMP_112
200088,11-09-25,UK,Manchester,STORE_10,Store,Apple,iPhone 15,Apple Distribution Ltd,256,Blue,466.3,259.66,1,0.1,419.67,259.66,160.01,0.381,77,None,Apple Pay,Extended 24M,4.5,0,EMP_157
200089,03-01-25,Poland,Warsaw,STORE_1,Store,Apple,iPhone 13,Apple Distribution Ltd,512,Green,793.92,449.82,4,0,3175.68,1799.28,1376.4,0.433,24,None,Cash,Standard 12M,4.5,1,EMP_116
200090,23-08-25,Germany,Berlin,STORE_5,Store,Google,Pixel 7,Google Devices Supply,512,White,969.79,712.37,3,0,2909.37,2137.11,772.26,0.265,15,None,Credit Card,Standard 12M,4,1,EMP_101
200091,28-08-25,Poland,Krakow,STORE_3,Store,OnePlus,OnePlus 10,OnePlus Distribution,256,White,840.11,622.98,4,0.15,2856.37,2491.92,364.45,0.128,12,None,PayPal,Standard 12M,4,1,EMP_153
200092,26-10-25,Poland,Krakow,STORE_7,Store,Google,Pixel 8,Google Devices Supply,256,Blue,551.92,372.2,3,0.15,1407.4,1116.6,290.8,0.207,6,Back to School,Apple Pay,Extended 24M,4.8,0,EMP_129
200093,20-05-25,USA,Chicago,STORE_9,Online,Google,Pixel 8,Google Devices Supply,256,Blue,680.25,453.95,1,0.05,646.24,453.95,192.29,0.298,23,Black Friday,Google Pay,Standard 12M,4.7,0,EMP_169
200094,16-07-25,Poland,Warsaw,STORE_8,Store,OnePlus,OnePlus 11,OnePlus Distribution,128,Blue,846.21,580.1,4,0,3384.84,2320.4,1064.44,0.314,37,Black Friday,Credit Card,Standard 12M,4.4,0,EMP_150
